location,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction
unit,°C,mm,%,km/h,°
level,2 m elevation corrected,sfc,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20211013T0000,10.350529,0.1,81.0,13.708391,283.67133
20211013T0100,10.180529,0.0,82.0,12.303366,290.55603
20211013T0200,9.840529,0.0,85.0,13.755579,317.1211
20211013T0300,9.160529,0.0,91.0,15.034041,343.30075
20211013T0400,8.400529,0.0,92.0,18.584509,351.08508
20211013T0500,7.6605287,0.2,92.0,15.745627,349.46082
20211013T0600,7.0005283,0.3,92.0,11.966954,344.29138
20211013T0700,6.1905284,0.0,93.0,7.729527,332.24146
20211013T0800,5.8705287,0.0,94.0,5.904439,322.43143
20211013T0900,6.1505284,0.0,91.0,3.9763298,275.19443
20211013T1000,7.2105284,0.0,85.0,2.3051248,231.3402
20211013T1100,8.780529,0.0,76.0,1.609969,333.43497
20211013T1200,9.710529,0.0,67.0,4.379589,350.5377
20211013T1300,12.610529,0.0,52.0,10.661107,348.31064
20211013T1400,13.210529,0.0,49.0,12.24,360.0
20211013T1500,13.360529,0.0,47.0,12.287555,5.04245
20211013T1600,13.330529,0.0,48.0,13.722565,4.513962
20211013T1700,12.410529,0.0,53.0,15.124284,358.63608
20211013T1800,10.940529,0.0,60.0,13.722565,355.48602
20211013T1900,9.430529,0.0,67.0,11.5199995,360.0
20211013T2000,8.250529,0.0,72.0,7.5685663,2.7262878
20211013T2100,7.3905287,0.0,76.0,3.096837,324.46234
20211013T2200,6.8705287,0.0,77.0,3.7064266,240.9454
20211013T2300,6.6805286,0.0,76.0,3.8268526,221.18593
20211014T0000,6.1405287,0.0,78.0,3.096837,234.46233
20211014T0100,5.6105285,0.0,80.0,2.8116899,219.80557
20211014T0200,5.6505284,0.0,80.0,2.52,180.0
20211014T0300,5.6005287,0.0,81.0,2.0991426,149.03624
20211014T0400,5.2305284,0.0,82.0,3.7064266,119.054596
20211014T0500,4.8005285,0.0,84.0,4.510787,118.61046
